id_persona|nivel_estudio|institucion|colegio|adeuda_materias_secundario|titulo|razon_abandono
4676|Secundario||INSTITUTO NUESTRA SRA.DE FATIMA|||
4792|Secundario||ESCUELA INDUSTRIAL DOMINGO F. SARMIENTO||BACHILLER CON ORIENTACIÓN EN GESTIÓN Y ADMINISTRACIÓN ESPECIALIZADO EN MICROEMPR|
4815|Secundario||COLEGIO ALVEAR|||
4820|Secundario||COLEGIO SAN JOSE||Bachiller, modalidad Economía y Gestión de las Organizaciones|
4829|Secundario||COLEGIO NACIONAL DR. ARTURO ILLIA||BACHILLER CON ESPECIALIZACION EN CIENCIAS EXACTAS Y NATURALES|
4869|Secundario||ESCUELA AGRARIA NRO. 1 PERITO MORENO||Técnico en Producción Agropecuaria|
4918|Secundario||CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº 451||Bachiller en Gestión y Administ. especializ. en Adm. de Pymes|
4928|Secundario||ESCUELA DE EDUCACION MEDIA NRO.2 FLORENTINO AMEGHINO||BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
4958|Secundario||ESCUELA POLIMODAL NRO. 2||Bachiller modalidad Ciencias Naturales|
4983|Secundario||INSTITUTO NUESTRA SRA.DE LUJAN||ECONOMÍA Y GESTIÓN DE LAS ORGANIZACIONES|
4985|Secundario||ESCUELA POLIMODAL NRO. 10 GRAL JOSE DE SAN MARTIN||BACHILLER EN CIENCIAS NATURALES|
4985|Secundario||ESCUELA POLIMODAL NRO. 10 GRAL JOSE DE SAN MARTIN||Polimodal Ciencias Naturales|
4985|Universitario|Universidad de Buenos Aires||||
5022|Secundario||INSTITUTO JESUS ADOLESCENTE||BACHILLER EN CIENCIAS NATURALES|
5103|Secundario||ESCUELA DE EDUCACION MEDIA NRO. 10 GRAL. JOSE DE SAN MARTIN||BACHILLER MODALIDAD CIENCIAS NATURALES|
5103|Superior|ISFD y T N°10||||
5105|Secundario||INSTITUTO CANOSSIANO SAGRADO CORAZON|||
5159|Secundario||ESCUELA TECNICA NRO. 2 ING. FELIPE SENILLOSA||BACHILLER|
5159|Secundario||ESCUELA TECNICA NRO. 2 ING. FELIPE SENILLOSA||Bachiller en la Mod. Prod. de Bienes y Servicios  y Técnico en Ind.de Procesos|
5159|Universitario|UNCPBA||||
5170|Secundario||INSTITUTO PERALTA RAMOS||Bachiller en la modalidad Ciencias Naturales|
5188|Secundario||ESCUELA POLIMODAL NRO. 8 FUERTE DE LA INDEPENDENCIA|||
5208|Secundario||ESCUELA POLIMODAL NRO. 10 GRAL JOSE DE SAN MARTIN||BACHILLER|
5289|Secundario||BACHILLERATO MUNICIPAL PARA ADULTOS NRO. 1||Bachiller Modalidad Humanidades y Cs. Sociales|
5289|Secundario||INSTITUTO GENERAL SAN MARTIN||BACHILLER ACADÉMICO|
5289|Secundario||INSTITUTO GENERAL SAN MARTIN||Bachiller modalidad Ciencias Naturales|
5289|Universitario|Fch-Unicen||||
5289|Universitario|FCH UNICEN||||
5289|Universitario|UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES||||
5297|Secundario||ESCUELA POLIMODAL NRO. 7 DR. J.V. GONZALEZ||BACHILLER MODALIDAD CIENCIAS NATURALES|
5297|Universitario|UNICEN||||
5446|Secundario||ESCUELA POLIMODAL NRO. 4 DR VICTORIANO E MONTES||BACHILLER MODALIDAD CIENCIAS NATURALES|
5446|Secundario||ESCUELA POLIMODAL NRO. 4 MARCIANO M ALDUNCIN||Bachiller modalidad Ciencias Naturales|
5446|Universitario|Universidad Nacional del Centro de la Pcia. de Buenos Aires|||Licenciado en Tecnología Ambiental|
5449|Secundario||ESCUELA NACIONAL ERNESTO SABATO||Nivel Polimodal-Modalidad: Ciencias de la Naturaleza|
5449|Universitario|UNICEN||||
5450|Secundario||ESCUELA NACIONAL ERNESTO SABATO||Nivel Polimodal-Modalidad: Ciencias de la Naturaleza|
5496|Secundario||ESCUELA INDUSTRIAL DOMINGO F. SARMIENTO||BACHILLER ESPECIALIZADO EN PEDAGOGIA|
5496|Secundario||INSTITUTO SAGRADA FAMILIA DIPREGEP N° 4805||BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.|
5524|Secundario||INSTITUTO SAGRADA FAMILIA DIPREGEP N° 4805||BACHILLER MODALIDAD EN CIENCIAS NATURALES APLICADAS|
5524|Superior|ISFDYT N°10||||
5556|Secundario||INSTITUTO SAGRADA FAMILIA DIPREGEP N° 4805|||
5559|Secundario||COLEGIO SAN JOSE||BACHILLER EN HUMANIDADES Y CS SOCIALES|
5559|Secundario||COLEGIO SAN JOSE|||
5559|Universitario|Univ. Nacional del Centro de la Prov. de Bs. As.||||
5567|Secundario||ESCUELA POLIMODAL NRO. 10 GRAL JOSE DE SAN MARTIN||BACHILLER CON ESPECIALIZACION EN CIENCIAS SOCIALES|
5680|Secundario||ESCUELA POLIMODAL NRO. 2 TTE. GRAL. NICOLAS LEVALLE||BACHILLER EN CIENCIAS NATURALES|
5695|Secundario||FUNDACION EDUCATIVA Y CULTURAL SAN ESTEBAN||BACHILLER BILINGÜE EN CIENCIAS Y LETRAS|
5695|Universitario|UNICEN||||
5704|Secundario||ESCUELA SECUNDARIA ESPECIALIZADA EN ARTE N°1||BACHILLER EN ARTES|
5716|Secundario||ESCUELA DE EDUCACION MEDIA NRO.11 ARTE 3 CENTRO POLIVALENTE DE ARTE DE TANDIL||BACHILLER EN ARTES|
5716|Secundario||ESCUELA SECUNDARIA ESPECIALIZADA EN ARTE N°1|||
5716|Superior|Instituto de Educacion Superior Tandil||||
5716|Superior|INSTITUTO DE EDUCACION SUPERIOR TANDIL||||
5723|Secundario||ESCUELA  DE EDUCACION MEDIA NRO.3 FLORENTINO AMEGHINO||BACHILLER CONTABLE|
5740|Secundario||COLEGIO JUAN JOSE PASSO|||
5748|Secundario||ESCUELA DE EDUCACION SECUNDARIA NRO. 10 GRAL. JOSE DE SAN MARTIN||BACHILLER CON ESPECIALIZACION EN CIENCIAS SOCIALES|
5748|Superior|INSTITUTO 75||||
5754|Secundario||INSTITUTO NIÑO JESUS||Bachiller Modalidad Humanidades y Cs. Sociales|
5777|Secundario||ESCUELA NACIONAL ERNESTO SABATO|||
5777|Universitario|UNICEN||||
5796|Secundario||ESCUELA NORMAL SUPERIOR JOSE MANUEL ESTRADA||BACHILLER MODALIDAD CIENCIAS NATURALES|
5796|Secundario||ESCUELA POLIMODAL NRO. 8 JOSE MANUEL ESTRADA|||
5796|Superior|INSTITUTO DE FORMACION DOCENTE||||
5891|Secundario||ESCUELA SECUNDARIA ESPECIALIZADA EN ARTE N°1|||
5891|Universitario|Escuela Superior de Salud||||
5891|Universitario|Facultad de Ciencias Exactas UNICEN||N|Programacion|
5900|Secundario||INSTITUTO SECUNDARIO DE RAUCH||Bachiller modalidad Ciencias Naturales|
5900|Universitario|UNIVERSIDAD NAC. DEL CENTRO FACULTAD DE VETERINARIAS||N|Médico Veterinario|
5914|Secundario||INSTITUTO SANTA TERESITA||Bachiller en Ciencias Sociales|
5917|Secundario||COLEGIO HOLANDES (EX 9000)|||
5917|Secundario||COL. NAC. P. CABRERA|||
5921|Secundario||COLEGIO ALVEAR||BACHILLER AGRARIO|
5960|Secundario||ESCUELA POLIMODAL NRO. 2 FERMIN GONZALEZ ANCALAO||BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
5960|Superior|Instituto  Superior de estudios especializados||||
6004|Secundario||INSTITUTO SAGRADA FAMILIA DIPREGEP N° 4805||BACHILLER EN CIENCIAS NATURALES|
6004|Universitario|UNICEN||||
6027|Secundario||ESCUELA POLIMODAL NRO. 1 CORBETA URUGUAY|||
6027|Superior|Instituto Superior De Formación Tecnica N 75||N|Enfermera/o|
6038|Secundario||INSTITUTO NTRA.SEÑORA DE LUJAN||BACHILLER CON ESPECIALIZACION EN CIENCIAS SOCIALES Y HUMANAS|
6074|Secundario||ESCUELA AGRARIA NRO. 1 DR. RAMON SANTAMARINA|||
6110|Secundario||CENTRO DE ESTUDIOS SUPERIOR DEL SUR||BACHILLER EN HUMANIDADES Y CS SOCIALES|
6110|Secundario||ESCUELA NACIONAL ERNESTO SABATO|||
6154|Secundario||COLEGIO SAN JOSE||BACHILLER NACIONAL|
6154|Universitario|Unicen||||
6154|Universitario|UNICEN||||
6198|Secundario||CENTRO DE ESTUDIOS SUPERIOR DEL SUR||BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
6198|Secundario||ESCUELA NACIONAL ERNESTO SABATO|||
6198|Superior|Instituto de Formacion Docente y Tecnica Nª10||||
6231|Secundario||INSTITUTO CALASANCIO DIVINA PASTORA||Bachiller en Economía y Administración|
6256|Secundario||COLEGIO ALFRED NOBEL (EX 9015)||Bachiller Modalidad Humanidades y Cs. Sociales|
6380|Secundario||ESCUELA AGROTECNICA SALESIANA NTRA. SRA. DE LA CANDELARIA||PRODUCCIÓN DE BIENES Y SERVICIOS|
6380|Universitario|Unicen||||
6425|Secundario||ESCUELA POLIMODAL NRO. 1||BACHILLER MODALIDAD BIENES Y SERVICIOS|
6462|Secundario||ESCUELA DE EDUCACION SECUNDARIA AGRARIA Nº1 DR. RAMON SANTAMARINA||BACHILLER AGRARIO|
6471|No hizo estudios|||||
6471|Secundario||ESCUELA DE EDUCACIÓN SECUNDARIA Nº 10 GRAL JOSE DE SAN MARTIN||BACHILLER EN CIENCIAS NATURALES|
6471|Universitario|UNICEN||||
6547|Secundario||COLEGIO SAGRADA FLIA DE LA PLATA|||
6547|Universitario|Universidad Nacional del Centro de la Pcia. de Bs.As.|||Licenciado en Tecnología Ambiental|
6555|Secundario||Normal|N|Bachiller En Lenguas Extrajeras|
6570|Secundario||ESCUELA MEDIA NRO. 2 FLORENTINO AMEGHINO||BACHILLER CON ESPECIALIZACION EN CIENCIAS ECONOMICAS|
6570|Universitario|UNIVERSIDAD FASTA||||
6593|Secundario||ESCUELA TECNICA NRO. 2 ING. FELIPE SENILLOSA||BACHILLER Y TÉCNICO AUXILIAR EN COMPUTACION|
6644|Secundario||ESCUELA AGROTECNICA DE NIVEL MEDIO NRO. 740||Bachiller y Técnico Agropecuario y Agroalimentario|
6644|Secundario||ESCUELA AGROTECNICA DE NIVEL MEDIO NRO. 740||TÉCNICO AGROPECUARIO|
6716|Secundario||INSTITUTO SAN ANTONIO DE PADUA||BACHILLER EN CIENCIAS NATURALES|
6716|Universitario|Universidad Nacional del Centro||||
6777|Secundario||ESCUELA MEDIA NRO. 3||BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
6777|Universitario|Facultad de medicina veterinaria||||
6791|Secundario||INSTITUTO MONS. CESAR CANEVA||BACHILLER CON ORIENTACION ADMINISTRACION CONTABLE|
6801|Secundario||ESCUELA POLIMODAL NRO. 1 CORBETA URUGUAY||BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
6807|Secundario||ESCUELA AGRARIA NRO. 1 DR. RAMON SANTAMARINA||BACHILLER AGRARIO|
6847|Secundario||ESCUELA TECNICA NRO. 2 ING. FELIPE SENILLOSA||TÉCNICO QUIMICO|
6847|Universitario|UNICEN||||
6882|Secundario||INSTITUTO INMACULADA CONCEPCION||Polimodal - Economia y Gestion de las Organizaciones|
6887|Secundario||ESCUELA NACIONAL ERNESTO SABATO||BACHILLER EN CIENCIAS NATURALES|
6905|Secundario||ESCUELA DE EDUCACION SECUNDARIA NRO. 3 DR.BENITO JUAREZ||BACHILLER EN CIENCIAS NATURALES|
6905|Superior|Instituto Superior De Formación Docente Y Técnica N° 10||N|Profesor De Biología Y Profesor De Químicas|
6942|Secundario||ANGEL DOMINGO ROJAS||TÉCNICO MECANICO|
6951|Secundario||INSTITUTO AGROTECNICO BRAGADO||BACHILLER AGRARIO|
6957|Secundario||ESCUELA POLIMODAL NRO. 14 EDUARDO MALLEA|N|BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
6957|Universitario|UNIVERSIDAD NACIONAL DEL SUR|||INGENIERÍA QUÍMICA|
7034|Secundario||ESCUELA DE AGRICULTURA Y GANADERIA ING.AGR.ADOLFO I.ZABALA||TÉCNICO AGROPECUARIO|
7043|Secundario||INSTITUTO PRIVADO SAN LUIS GONZAGA||BACHILLER EN ADMINISTRACION|
7043|Secundario||INSTITUTO SAN LUIS||BACHILLER CON ESPECIALIZACION EN ECONOMIA Y ADM. DE EMPRESAS|
7121|Secundario||ESCUELA DE EDUCACION MEDIA NRO. 1||BACHILLER EN CIENCIAS NATURALES|
7158|Secundario||INSTITUTO SALESIANO SAN JOSE(POLIMODAL)||BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
7184|Secundario||COLEGIO SAGRADA FAMILIA||BACHILLER EN CIENCIAS NATURALES|
7184|Universitario|UNICEN TANDIL||||
7191|Secundario||COLEGIO SAN MIGUEL|N|Bachillerato En Ciencias Sociales|
7191|Secundario||ESCUELA POLIMODAL NRO. 2||BACHILLER EN CIENCIAS SOCIALES|
7223|Secundario||COLEGIO NUESTRA TIERRA||BACHILLER|
7234|Secundario||ESCUELA DE EDUCACIÓN  MEDIA N° 1 (E.E.M NRO. 1)||BACHILLER EN CIENCIAS NATURALES|
7236|Secundario||ESC. FRANCISCO NARCISO LAPRIDA||BACHILLER CON ORIENTACION ADMINISTRACION CONTABLE|
7283|Secundario||ESCUELA DE EDUCACION MEDIA NRO. 1||BACHILLER CON ESPECIALIZACION EN GESTION Y ADMINISTRACION|
7287|Secundario||INSTITUTO ORSINO||BACHILLER CON ESPECIALIZACION EN CIENCIAS SOCIALES Y HUMANAS|
7342|Secundario||INSTITUTO NUESTRA SRA.DE FATIMA||BACHILLER CON ORIENTACION EN CIENCIAS SOCIALES|
7484|Secundario||ESCUELA POLIMODAL NRO. 1 LUCIO V MANSILLA||BACHILLER EN EDUCACION FISICA|
7502|Secundario||COL. MARIANO MORENO||BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.|
7531|Secundario||INSTITUTO INCORPORADO SAN JOSE||BACHILLER CON ESPECIALIZACION EN CIENCIAS ECONOMICAS|
7531|Universitario|UNICEN||||
7561|Secundario||INSTITUTO CALASANCIO DIVINA PASTORA||BACHILLER COMERCIAL|
7561|Universitario|UBA||||
7671|Secundario||ESCUELA DE EDUCACION MEDIA NRO. 1 LUCIO V. MANSILLA||HUMANIDADES: CIENCIAS SOCIALES|
7671|Secundario||ESCUELA DE EDUCACION SECUNDARIA N°1 LUCIO V. MANSILLA||BACHILLER EN CIENCIAS SOCIALES|
7676|Secundario||INSTITUTO INMACULADA CONCEPCION||BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
7693|Secundario||INSTITUTO SAN MIGUEL||HUMANIDADES Y CIENCIAS SOCIALES|
7776|Secundario||INSTITUTO SECUNDARIO DE RAUCH||HUMANIDADES: CIENCIAS NATURALES|
7804|Desconoce|Universidad de Exactas Unicen||||
7804|Secundario||ESCUELA TECNICA NRO. 2 ING. FELIPE SENILLOSA||BACHILLER Y TÉCNICO EN INFORMATICA|
7815|Secundario||COLEGIO SAN JOSE||BACHILLER CON ORIENTACION EN ECONOMIA Y ADMINISTRACION|
7877|Secundario||ESCUELA DE EDUCACION MEDIA NRO.5 ESTEBAN ECHEVERRIA (EX COLEGIO NACIONAL)||BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
7929|Secundario||ESCUELA DE EDUCACION MEDIA NRO. 10 GRAL. JOSE DE SAN MARTIN||BACHILLERATO|
7969|Secundario||INSTITUTO SECUNDARIO DE RAUCH||BACHILLER EN CIENCIAS NATURALES|
8011|Secundario||INSTITUTO BEATA IMELDA||HUMANIDADES Y CIENCIAS SOCIALES|
8044|Secundario||ESCUELA NACIONAL ERNESTO SABATO|||
8045|Secundario||ESCUELA SECUNDARIA NRO. 12||BACHILLER CON ORIENTACION EN ECONOMIA Y ADMINISTRACION|
8047|Secundario||COLEGIO SAN JOSE||BACHILLER CON ORIENTACION EN ECONOMIA Y ADMINISTRACION|
8047|Universitario|UNIVERSIDAD NACIONAL DE MAR DEL PLATA||||
8057|Secundario||ESCUELA POLIMODAL NRO. 3 ALMAFUERTE||BACHILLER EN CIENCIAS SOCIALES|
8135|Secundario||ESCUELA SECUNDARIA Nº1 FRANCISCO N DE LAPRIDA||BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
8212|Secundario||ESC. ADULTOS Nº 34||BACHILLER EN CIENCIAS NATURALES|
8238|Secundario||ESCUELA POLIMODAL NRO. 2 EMILIO V ALAVEDRA||BACHILLER EN CIENCIAS NATURALES|
8279|Secundario||COLEGIO ALVEAR||BACHILLER AGRARIO|
8279|Secundario||ESCUELA AGRARIA NRO. 1 DR. RAMON SANTAMARINA||BACHILLERATO|
8314|Secundario||COLEGIO SAN AGUSTIN||BACHILLER EN CIENCIAS NATURALES|
8332|Secundario||INSTITUTO BRIG.GRAL.MARTIN RODRIGUEZ||Bachiller en Economía y Administración|
8334|Secundario||ESCUELA POLIMODAL NRO. 2 DOMINGO F. SARMIENTO|||
8335|Secundario||INSTITUTO KINDER/COLEGIO DEL SOL||BACHILLER CON ESPECIALIZACION EN CIENCIAS SOCIALES|
8335|Secundario||INSTITUTO KINDER/COLEGIO DEL SOL||BACHILLER CON ORIENTACION EN CIENCIAS SOCIALES|
8377|Secundario||DE 16 A-0134 INSTITUTOFASTA SAN VICENTE DE PAUL||BACHILLER EN CIENCIAS NATURALES|
8377|Universitario|UNIVERSIDAD DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES||||
8394|Secundario||COLEGIO SAGRADA FAMILIA||BACHILLER EN CIENCIAS NATURALES|
8406|Secundario||ESCUELA NORMAL NACIONAL SUPERIOR GRAL. JOSÉ DE SAN MARTÍN||BACHILLER EN CIENCIAS NATURALES|
8464|Secundario||INSTITUTO SAN JOSE OBRERO||BACHILLER AGRARIO|
8464|Universitario|Unicen||||
8477|Secundario||ESCUELA DE EDUCACION MEDIA NRO.5 ESTEBAN ECHEVERRIA (EX COLEGIO NACIONAL)||ECONOMÍA Y GESTIÓN DE LAS ORG.: ADMIN.|
8483|Secundario||ESCUELA TECNICA NRO. 2 ING. FELIPE SENILLOSA||TÉCNICO QUIMICO|
8503|Secundario||COLEGIO SAGRADA FAMILIA||BACHILLER EN CIENCIAS SOCIALES|
8503|Superior|INSTITUTO DE EDUCACION FISICA TANDIL||||
8503|Superior|Instituto Superior Tandil||N|Profesora De Educacion Fisica|
8575|Secundario||ANEXO 1 DE ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA N°6||BACHILLER C/ESPECIALIZACION EN INFORMATICA|
8575|Universitario|Facultad de ciencias exactas||||
8577|Secundario||COLEGIO NUESTRA TIERRA||BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
