id_alumno|id_persona|carrera|plan|fecha_inscripcion|regular|calidad|localidad_nacimiento|colegio_secundario|titulo_secundario
53584|47447|206|1988|1983-04-01|N|Pasivo|TANDIL||
53587|47430|206|S95|1983-04-01|N|Pasivo|TANDIL|COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO|BACHILLER
53589|47428|207|1997|1983-04-01|N|Pasivo|ADOLFO GONZALES CHAVES||
53590|47454|206|1988|1984-04-01|N|Pasivo|NECOCHEA|ANGEL DOMINGO ROJAS|BACHILLER COMUN
53592|47456|206|1988|1984-04-01|N|Egreso|TANDIL|ESCUELA INDUSTRIAL DOMINGO F. SARMIENTO|PERITO MERCANTIL
53594|47459|206|1988|1984-04-01|N|Abandono|ROSARIO||
53596|47463|206|1988|1984-04-01|N|Egreso|TANDIL||
53598|47466|206|1988|1984-04-01|N|Pasivo|CHACABUCO||
53599|47467|206|1988|1984-04-01|N|Egreso|LOBERIA||
53600|25838|206|1988|1984-04-01|N|Pasivo|ZAVALIA||
53602|47478|206|1988|1984-04-01|N|Pasivo|RAUCH||
53603|47479|206|1988|1984-04-01|N|Egreso|TANDIL||
53605|23510|206|1988|1984-04-01|N|Pasivo|TRES ARROYOS|INSTITUTO NUESTRA SRA.DE LUJAN|BACHILLER CON ORIENTACION DOCENTE
53606|47483|206|1988|1984-04-01|N|Pasivo|QUILMES||
53607|47484|206|1988|1984-04-01|N|Pasivo|MIRAMAR||
53608|47453|206|S95|1984-04-01|N|Pasivo|NECOCHEA||
53609|47473|206|S95|1984-04-01|N|Pasivo|MAR DEL PLATA||
65788|47481|204|2003b|1984-04-01|N|Alta Alumno|TANDIL||
53610|47485|206|1988|1985-04-01|N|Abandono|DAIREAUX||
53615|43169|206|1988|1985-04-01|N|Pasivo|PUERTO RICO|INSTITUTO SEC. ROSARIO V. PEÑALOZA|PERITO MERCANTIL
53615|43169|206|1988|1985-04-01|N|Pasivo|PUERTO RICO|JAVIER FROILAN FERRERO|PERITO MERCANTIL
53616|47492|206|1988|1985-04-01|N|Pasivo|TANDIL|COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER
53617|47493|206|1988|1985-04-01|N|Pasivo|TANDIL||
53618|47494|206|1988|1985-04-01|N|Egreso|LAS FLORES||
53619|47495|206|1988|1985-04-01|N|Egreso|COLONIA BARON||
53621|47498|206|1988|1985-04-01|N|Pasivo|AMEGHINO||
53623|47500|206|1988|1985-04-01|N|Egreso|TANDIL||
53625|47502|206|1988|1985-04-01|N|Pasivo|TANDIL||
53626|47503|206|1988|1985-04-01|N|Pasivo|TANDIL||
53628|47505|206|1988|1985-04-01|N|Egreso|TANDIL||
53629|47506|206|1988|1985-04-01|N|Pasivo|MAR DEL PLATA|AGROTECNICA CORNELIO SAAVEDRA|TÉCNICO ELECTRONICO
53630|47508|206|1988|1985-04-01|N|Egreso|TANDIL||
53631|47510|206|1988|1985-04-01|N|Pasivo|NECOCHEA||
53634|47516|206|1988|1985-04-01|N|Egreso|TANDIL||
53635|26974|206|1988|1985-04-01|N|Pasivo|MAR DEL PLATA|INSTITUTO JESUS OBRERO|PERITO MERCANTIL
53636|47518|206|1988|1985-04-01|N|Pasivo|TANDIL||
53637|47519|206|1988|1985-04-01|N|Pasivo|TANDIL||
53639|47523|206|1988|1985-04-01|N|Pasivo|CÓRDOBA||
53644|47507|206|S95|1985-04-01|N|Pasivo|MAR DEL PLATA|Enet Nro 1 Domingo Faustino Sarmiento|TÉCNICO ELECTRONICO C/ESP. EN COMUNICACIONES
53645|47511|206|S95|1985-04-01|N|Pasivo|NECOCHEA||
56418|29516|201|1999|1986-03-13|N|Pasivo|TANDIL|SOTERO S. ARIZU|BACHILLER CON ORIENTACION DOCENTE
53647|47529|206|1988|1986-04-01|N|Pasivo|NECOCHEA||
53648|47530|206|1988|1986-04-01|N|Egreso|VILLA REGINA||
53649|47531|206|1988|1986-04-01|N|Pasivo|OLAVARRÍA||
53650|47535|206|1988|1986-04-01|N|Egreso|TANDIL||
53653|47539|206|1988|1986-04-01|N|Egreso|BALCARCE||
53654|47540|206|1988|1986-04-01|N|Egreso|BALCARCE||
53656|47543|206|1988|1986-04-01|N|Egreso|NECOCHEA||
53657|47545|206|1988|1986-04-01|N|Pasivo|OLAVARRÍA||
53659|47547|206|1988|1986-04-01|N|Egreso|MORON||
53660|47548|206|1988|1986-04-01|N|Egreso|NECOCHEA||
53661|47550|206|1988|1986-04-01|N|Pasivo|SALTO||
53662|47551|206|1988|1986-04-01|N|Pasivo|LOMAS DE ZAMORA||
53663|47552|206|1988|1986-04-01|N|Pasivo|BOLIVAR||
53664|47553|206|1988|1986-04-01|N|Pasivo|RAUCH|AGROINDUSTRIAL MONSEÑOR DR. JUAN ANTONIO VIDELA CUELLO|BACHILLER
53665|47554|206|1988|1986-04-01|N|Egreso|PERGAMINO||
53668|47561|206|1988|1986-04-01|N|Egreso|REMEDIOS DE ESCALADA||
53672|9120|206|1988|1986-04-01|N|Pasivo|TANDIL||
53673|47568|206|2011|1986-04-01|N|Pasivo|TANDIL|MONS. AMERICO ORZALI|MAESTRO MAYOR DE OBRA
53674|47569|206|1988|1986-04-01|N|Egreso|CHACABUCO||
53675|47570|206|1988|1986-04-01|N|Egreso|MORON||
53676|47572|206|1988|1986-04-01|N|Egreso|SALLIQUELÓ|ESCUELA NORMAL SUPERIOR JOSE MANUEL ESTRADA|BACHILLER CON ESPECIALIZACION EN CIENCIAS FISICO-MATEMATICA
53677|47574|206|1988|1986-04-01|N|Egreso|TANDIL||
53678|47577|206|1988|1986-04-01|N|Pasivo|TANDIL||
53679|47579|206|1988|1986-04-01|N|Pasivo|AYACUCHO||
53681|47581|206|1988|1986-04-01|N|Egreso|TANDIL||
53682|47582|206|1988|1986-04-01|N|Pasivo|TANDIL|COLEGIO SEC.AUGUSTO PULENTA|TÉCNICO MECÁNICO ELECTRICISTA
53684|42224|206|1988|1986-04-01|N|Egreso|AVELLANEDA|PROF. FROILAN FERRERO2|PERITO MERCANTIL
53686|47586|206|1988|1986-04-01|N|Pasivo|AZUL||
53687|47587|206|1988|1986-04-01|N|Pasivo|PELLEGRINI||
53688|47588|206|1988|1986-04-01|N|Pasivo|Ciudad Autónoma de Buenos Aires||
53689|47591|206|1988|1986-04-01|N|Pasivo|OLAVARRÍA||
53690|47592|206|1988|1986-04-01|N|Egreso|OLAVARRÍA||
53691|47593|206|1988|1986-04-01|N|Pasivo|TANDIL|ESCUELA TECNICA NRO. 1 REPUBLICA DE MEXICO|TÉCNICO MECANICO
53692|47594|206|1988|1986-04-01|N|Egreso|OLAVARRÍA|ANTONIO QUARANTA NRO.79|
53695|34843|206|S95|1986-04-01|N|Pasivo|MAR DEL PLATA||
53696|47532|206|S95|1986-04-01|N|Pasivo|GOBERNADOR PIEDRABUENA||
53698|47556|206|S95|1986-04-01|N|Abandono|TANDIL|COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO|PERITO MERCANTIL
65792|29516|204|2003b|1986-04-01|N|Alta Alumno|TANDIL|SOTERO S. ARIZU|BACHILLER CON ORIENTACION DOCENTE
65794|47534|206|2011|1986-04-01|N|Alta Alumno|TANDIL||
53703|47600|206|1988|1987-04-01|N|Pasivo|AZUL|ESCUELA DE EDUCACION TECNICA NRO 2 VICENTE PEREDA|POLIMODAL ORIENTACION HUMANIDADES Y CIENCIAS SOCIALES
53704|47601|206|1988|1987-04-01|N|Egreso|AZUL||
53707|47607|206|1988|1987-04-01|N|Pasivo|BENITO JUAREZ||
53710|47611|206|1988|1987-04-01|N|Egreso|ESQUEL||
53711|30035|206|1988|1987-04-01|N|Pasivo|LA PLATA||
53712|47614|206|1988|1987-04-01|N|Egreso|MONTE GRANDE||
53713|47615|206|1988|1987-04-01|N|Egreso|PUERTO BELGRANO||
53715|47621|206|1988|1987-04-01|N|Egreso|TANDIL||
53718|47624|206|1988|1987-04-01|N|Pasivo|PLAZA HUINCUL||
53719|47626|206|1988|1987-04-01|N|Egreso|TANDIL||
53720|47627|206|1988|1987-04-01|N|Egreso|BENITO JUAREZ||
53721|47628|206|1988|1987-04-01|N|Pasivo|TRES ARROYOS||
53722|47629|206|1988|1987-04-01|N|Pasivo|ADOLFO GONZALES CHAVES|ALFONSINA STORNI|PERITO MERCANTIL
53723|47630|206|1988|1987-04-01|N|Pasivo|TRES ARROYOS||
53724|47632|206|1988|1987-04-01|N|Egreso|BALCARCE||
53727|35735|206|1988|1987-04-01|N|Pasivo|Arequipa|COLEGIO PARTICULAR SAN JOSE|Educación Secundaria
53728|47639|206|1988|1987-04-01|N|Pasivo|BENITO JUAREZ|ALBERTO SCWEITCER|BACHILLER CONTABLE
53729|47641|206|1988|1987-04-01|N|Egreso|VIEDMA||
53731|47643|206|1988|1987-04-01|N|Egreso|PLAZA HUINCUL||
53732|47644|206|1988|1987-04-01|N|Egreso|TANDIL|ALFONSINA STORNI|PERITO MERCANTIL
53733|33544|206|1988|1987-04-01|N|Pasivo|TANDIL||
53734|47646|206|1988|1987-04-01|N|Egreso|TANDIL||
53736|47648|206|1988|1987-04-01|N|Pasivo|SIERRAS BAYAS||
53738|47650|206|1988|1987-04-01|N|Pasivo|RAMOS MEJIA||
53739|47651|206|1988|1987-04-01|N|Egreso|TANDIL||
53740|47652|206|1988|1987-04-01|N|Egreso|MAR DEL PLATA||
53741|47653|206|1988|1987-04-01|N|Egreso|MAR DEL PLATA||
53742|47654|206|1988|1987-04-01|N|Egreso|Ciudad Autónoma de Buenos Aires||
53746|47658|206|1988|1987-04-01|N|Egreso|NECOCHEA||
53747|47659|206|1988|1987-04-01|N|Egreso|TANDIL||
53748|47660|206|1988|1987-04-01|N|Pasivo|SAN CAYETANO||
53749|47661|206|1988|1987-04-01|N|Egreso|SANTA CRUZ||
53750|47662|206|1988|1987-04-01|N|Egreso|MAR DEL PLATA||
53752|47664|206|1988|1987-04-01|N|Egreso|MAR DEL PLATA||
53753|47665|206|1988|1987-04-01|N|Pasivo|FRANCISCO MADERO||
53758|47849|206|1988|1987-04-01|N|Pasivo|MAR DEL PLATA|DR. RODRIGUEZ Y OLMOS|BACHILLER NACIONAL
53759|47606|206|S95|1987-04-01|N|Pasivo|AZUL||
53760|47610|206|S95|1987-04-01|N|Egreso|BALCARCE|GRAL. M. S. BELGRANO|PERITO MERCANTIL
53762|47849|210|2000|1987-04-01|N|Egreso|MAR DEL PLATA|DR. RODRIGUEZ Y OLMOS|BACHILLER NACIONAL
53763|47392|206|1988|1988-04-01|N|Egreso|MAR DEL PLATA||
53765|47676|206|1988|1988-04-01|N|Egreso|VIEDMA||
53766|47678|206|1988|1988-04-01|N|Pasivo|SAN ISIDRO||
53768|47681|206|1988|1988-04-01|N|Egreso|LAPRIDA||
53769|47682|206|1988|1988-04-01|N|Egreso|TRES ARROYOS||
53770|47683|206|1988|1988-04-01|N|Pasivo|TRES ARROYOS||
53771|47684|206|1988|1988-04-01|N|Egreso|TRES ARROYOS||
53772|47685|206|1988|1988-04-01|N|Egreso|TRES ARROYOS||
53774|47687|206|1988|1988-04-01|N|Egreso|VICENTE LÓPEZ||
53775|47688|206|1988|1988-04-01|N|Egreso|TRES ARROYOS||
53778|47691|206|1988|1988-04-01|N|Egreso|SAN MANUEL|COLEGIO NACIONAL SUPERIOR NRO.1 DE RAWSON|BACHILLER NACIONAL
53781|47696|206|1988|1988-04-01|N|Egreso|Ciudad Autónoma de Buenos Aires||
53784|47701|206|1988|1988-04-01|N|Egreso|TANDIL||
53786|47705|206|1988|1988-04-01|N|Egreso|RAUCH||
53787|47706|206|1988|1988-04-01|N|Pasivo|RAUCH||
53789|47708|206|1988|1988-04-01|N|Pasivo|NECOCHEA||
53790|47710|206|1988|1988-04-01|N|Egreso|OLAVARRÍA||
53792|47712|206|1988|1988-04-01|N|Egreso|RAUCH||
53793|47713|206|1988|1988-04-01|N|Egreso|GENERAL LAMADRID||
53794|47714|206|1988|1988-04-01|N|Egreso|TANDIL||
53795|47715|206|1988|1988-04-01|N|Pasivo|COMANDANTE NICANOR OTAMENDI||
53796|47718|206|1988|1988-04-01|N|Pasivo|TANDIL|SOTERO S. ARIZU|BACHILLER
53800|47722|206|1988|1988-04-01|N|Abandono|SIERRAS BAYAS||
53801|47724|206|1988|1988-04-01|N|Egreso|TANDIL||
53808|47733|206|1988|1988-04-01|N|Egreso|TANDIL|ALFONSINA STORNI|PERITO MERCANTIL
53810|47736|206|1988|1988-04-01|N|Pasivo|NECOCHEA||
53814|47741|206|1988|1988-04-01|N|Egreso|NECOCHEA|ESCUELA TECNICA NRO. 2 GRAL. MARIANO NECOCHEA|Bachiller modalidad Ciencias Naturales y Técnico en Producción Agropecuaria
53816|47743|206|1988|1988-04-01|N|Egreso|TANDIL||
53818|47745|206|1988|1988-04-01|N|Abandono|MAR DEL PLATA|PROFESOR JAVIER FROILAN FERRERO|BACHILLER
53819|47748|206|1988|1988-04-01|N|Egreso|MENDOZA||
53820|47750|206|1988|1988-04-01|N|Egreso|TANDIL||
53821|47751|206|1988|1988-04-01|N|Egreso|MAR DEL PLATA||
53822|47754|206|1988|1988-04-01|N|Egreso|QUILMES||
53823|47755|206|1988|1988-04-01|N|Pasivo|NECOCHEA||
53826|47759|206|1988|1988-04-01|N|Pasivo|Indeterminada||
53828|47761|206|1988|1988-04-01|N|Egreso|LA PAZ||
53830|47764|206|1988|1988-04-01|N|Pasivo|Indeterminada||
53836|47770|206|1988|1988-04-01|N|Egreso|TRES ARROYOS||
53837|47771|206|1988|1988-04-01|N|Egreso|TRES ARROYOS||
53838|47700|206|S95|1988-04-01|N|Pasivo|TANDIL|ALFONSINA STORNI|PERITO MERCANTIL
53839|47703|206|S95|1988-04-01|N|Pasivo|TANDIL||
53840|27088|206|S95|1988-04-01|N|Abandono|RIO GALLEGOS|ARISTIDES VILLANUEVA|BACHILLER CON ORIENTACION AUXILIAR DE LABORATORIO
53841|47738|206|S95|1988-04-01|N|Pasivo|TANDIL|MONS. AMERICO ORZALI|TÉCNICO ELECTROMECANICO
53842|47747|206|S95|1988-04-01|N|Pasivo|RESISTENCIA||
53844|47748|207|1997|1988-04-01|N|Pasivo|MENDOZA||
53845|47771|207|1997|1988-04-01|N|Pasivo|TRES ARROYOS||
53848|47773|206|1988|1989-04-01|N|Egreso|BALCARCE||
53849|47774|206|1988|1989-04-01|N|Pasivo|MAR DEL PLATA||
53851|47776|206|1988|1989-04-01|N|Egreso|RIO GALLEGOS|COLEGIO NACIONAL TEODOSIO FRANCO GARCIA|BACHILLER CON ORIENTACION DOCENTE
53852|47778|206|1988|1989-04-01|N|Pasivo|RAUCH||
53853|21005|206|1988|1989-04-01|N|Egreso|PEDERNALES||
53855|47781|206|1988|1989-04-01|N|Egreso|RAUCH||
53856|47783|206|1988|1989-04-01|N|Egreso|MAR DEL PLATA||
53857|47784|206|1988|1989-04-01|N|Pasivo|TANDIL||
53858|47785|206|1988|1989-04-01|N|Egreso|TANDIL||
53859|47786|206|1988|1989-04-01|N|Pasivo|GENERAL VILLEGAS|VICTORINA L. DE NAVARRO|BACHILLER CON ORIENTACION DOCENTE
53860|47787|206|1988|1989-04-01|N|Pasivo|TANDIL||
53862|22822|206|1988|1989-04-01|N|Egreso|HENDERSON|NO ESTA|BACHILLER CONTABLE
53864|47793|206|1988|1989-04-01|N|Cumplio Requisitos|AVELLANEDA||
53867|47796|206|1988|1989-04-01|N|Egreso|TRES ARROYOS||
53868|47797|206|1988|1989-04-01|N|Egreso|AZUL||
53869|47798|206|1988|1989-04-01|N|Egreso|USHUAIA||
53870|47799|206|1988|1989-04-01|N|Pasivo|MAR DEL PLATA||
53871|47800|206|1988|1989-04-01|N|Egreso|MAR DEL PLATA|AGROTECNICA CORNELIO SAAVEDRA|TÉCNICO ELECTRONICO
53872|47801|206|1988|1989-04-01|N|Egreso|AYACUCHO||
53873|47802|206|1988|1989-04-01|N|Egreso|SAN CAYETANO||
53874|47803|206|1988|1989-04-01|N|Pasivo|TRES ARROYOS||
53875|47804|206|1988|1989-04-01|N|Egreso|TANDIL||
53876|47805|206|1988|1989-04-01|N|Pasivo|SAN CAYETANO||
53878|47807|206|1988|1989-04-01|N|Pasivo|GENERAL LAMADRID|B.A.D.A|PERITO MERCANTIL
53879|47808|206|1988|1989-04-01|N|Egreso|AZUL||
53881|47810|206|1988|1989-04-01|N|Egreso|DAIREAUX||
53882|47811|206|1988|1989-04-01|N|Egreso|BALCARCE||
53889|47818|206|1988|1989-04-01|N|Pasivo|MAR DEL PLATA|COLEGIO SECUNDARIO DR. DIEGO DE SALINAS|BACHILLER
53890|47819|206|1988|1989-04-01|N|Egreso|BALCARCE||
53891|47820|206|1988|1989-04-01|N|Egreso|NECOCHEA||
53894|47826|206|1988|1989-04-01|N|Egreso|BALCARCE||
53895|47828|206|1988|1989-04-01|N|Egreso|RAUCH||
53896|47829|206|1988|1989-04-01|N|Egreso|MAR DEL PLATA||
53898|47833|206|1988|1989-04-01|N|Egreso|MAR DEL PLATA||
53899|47834|206|1988|1989-04-01|N|Egreso|AZUL|NUESTRA SEÑORA DE FATIMA|TÉCNICO ELECTROMECANICO
53901|47836|206|1988|1989-04-01|N|Pasivo|Ciudad Autónoma de Buenos Aires||
53902|47838|206|1988|1989-04-01|N|Pasivo|LAPRIDA||
53903|47839|206|1988|1989-04-01|N|Pasivo|SAN JUAN||
53904|47841|206|1988|1989-04-01|N|Egreso|Ciudad Autónoma de Buenos Aires||
53907|47847|206|1988|1989-04-01|N|Egreso|TANDIL||
53908|47848|206|1988|1989-04-01|N|Pasivo|Ciudad Autónoma de Buenos Aires||
53912|33321|206|1988|1989-04-01|N|Pasivo|Indeterminada|ARMADA ARGENTINA|PERITO MERCANTIL
53913|35733|206|S95|1989-04-01|N|Pasivo|OLAVARRÍA|"COLEGIO NACIONAL ""CORONEL OLAVARRIA"""|BACHILLER
53914|47830|206|S95|1989-04-01|N|Pasivo|BENITO JUAREZ||
53915|47831|206|S95|1989-04-01|N|Pasivo|LAS FLORES||
53916|47786|207|1997|1989-04-01|N|Pasivo|GENERAL VILLEGAS|VICTORINA L. DE NAVARRO|BACHILLER CON ORIENTACION DOCENTE
65798|1110|205|2004|1989-04-01|N|Alta Alumno|TANDIL||
53922|47855|206|1988|1990-04-01|N|Egreso|TANDIL||
53924|47857|206|1988|1990-04-01|N|Egreso|GENERAL MADARIAGA|ACADEMIA IRIS|MAESTRO MAYOR DE OBRA
53926|47861|206|1988|1990-04-01|N|Egreso|SALADILLO||
53928|47865|206|1988|1990-04-01|N|Pasivo|OLAVARRÍA|ESCUELA NRO. 4-002 FRAY LUIS BELTRAN|BACHILLER
53931|47868|206|1988|1990-04-01|N|Egreso|NECOCHEA||
53932|47869|206|1988|1990-04-01|N|Pasivo|NECOCHEA||
53933|47870|206|1988|1990-04-01|N|Egreso|TRES ARROYOS||
53934|47871|206|1988|1990-04-01|N|Egreso|TRES ARROYOS||
53935|47872|206|1988|1990-04-01|N|Egreso|AYACUCHO||
53936|47874|206|1988|1990-04-01|N|Egreso|9 DE JULIO||
53937|47876|206|1988|1990-04-01|N|Pasivo|TANDIL||
53938|47877|206|1988|1990-04-01|N|Egreso|Ciudad Autónoma de Buenos Aires||
53939|47878|206|1988|1990-04-01|N|Pasivo|OLAVARRÍA||
53940|47881|206|1988|1990-04-01|N|Pasivo|TANDIL||
53941|47882|206|1988|1990-04-01|N|Egreso|TANDIL|ESCUELA NACIONAL DE COMERCIO FUERTE INDEPENDENCIA|PERITO MERCANTIL
53942|47883|206|1988|1990-04-01|N|Abandono|CARMEN DE PATAGONES|ANTONIO DE LA TORRE|PERITO MERCANTIL
53943|47885|206|1988|1990-04-01|N|Egreso|TANDIL||
53944|47886|206|1988|1990-04-01|N|Egreso|MAR DEL PLATA||
53946|47889|206|1988|1990-04-01|N|Egreso|ADOLFO GONZALES CHAVES||
53947|47890|206|1988|1990-04-01|N|Pasivo|ADOLFO GONZALES CHAVES|ALELUYA|PERITO MERCANTIL
53948|47891|206|1988|1990-04-01|N|Pasivo|SAN CAYETANO||
53949|47892|206|1988|1990-04-01|N|Egreso|Ciudad Autónoma de Buenos Aires||
53951|47894|206|1988|1990-04-01|N|Egreso|MAR DEL PLATA||
53952|47895|206|1988|1990-04-01|N|Egreso|MAR DEL PLATA||
53953|47896|206|1988|1990-04-01|N|Egreso|TANDIL||
53956|47902|206|1988|1990-04-01|N|Egreso|SAN LUIS||
53957|47904|206|1988|1990-04-01|N|Egreso|SAN CARLOS DE BARILOCHE||
53958|47905|206|1988|1990-04-01|N|Egreso|TANDIL||
53960|47907|206|1988|1990-04-01|N|Egreso|SALAZAR||
53962|47911|206|1988|1990-04-01|N|Pasivo|SALADILLO||
53963|47912|206|1988|1990-04-01|N|Pasivo|TRES ARROYOS||
53964|47913|206|1988|1990-04-01|N|Egreso|MAR DEL PLATA||
53965|47914|206|1988|1990-04-01|N|Egreso|NECOCHEA||
53966|47915|206|1988|1990-04-01|N|Egreso|SAN CAYETANO||
53967|47917|206|1988|1990-04-01|N|Egreso|TANDIL||
53968|47918|206|1988|1990-04-01|N|Egreso|ZARATE||
53970|47921|206|1988|1990-04-01|N|Pasivo|TANDIL||
53972|47929|206|1988|1990-04-01|N|Egreso|MAR DEL PLATA||
53975|47933|206|1988|1990-04-01|N|Pasivo|TANDIL||
53977|47938|206|1988|1990-04-01|N|Egreso|BERMEJO||
53979|48155|206|1988|1990-04-01|N|Egreso|TANDIL||
53981|47880|206|S95|1990-04-01|N|Abandono|MAR DEL PLATA|COLEGIO EL TRANSITO|TÉCNICO ELECTRONICO C/ESP. EN COMUNICACIONES
53982|47900|206|S95|1990-04-01|N|Pasivo|RANCHOS||
53983|47901|206|S95|1990-04-01|N|Abandono|Ciudad Autónoma de Buenos Aires|ESCUELA NRO. 4-055 PRESBITERO CONSTANTINO SPAGNOLO|BACHILLER CONTABLE
53984|47903|206|S95|1990-04-01|N|Pasivo|Ciudad Autónoma de Buenos Aires||
53985|47920|206|S95|1990-04-01|N|Pasivo|BENITO JUAREZ||
53986|47923|206|S95|1990-04-01|N|Pasivo|BENITO JUAREZ|ALBERTO BREYER|BACHILLER CON ORIENTACION DOCENTE
53987|47925|206|S95|1990-04-01|N|Pasivo|TANDIL||
53988|47931|206|S95|1990-04-01|N|Pasivo|TANDIL|ESCUELA NACIONAL DE COMERCIO|BACHILLER NACIONAL
53989|47940|206|S95|1990-04-01|N|Pasivo|TANDIL|ALFONSINA STORNI|PERITO MERCANTIL
53990|47942|206|S95|1990-04-01|N|Pasivo|SAN CLEMENTE DEL TUYU|4 106 IV BRIGADA AEREA|PERITO MERCANTIL
53993|47875|206|1988|1991-04-01|N|Egreso|Ciudad Autónoma de Buenos Aires||
53994|47946|206|1988|1991-04-01|N|Egreso|TANDIL||
53995|47947|206|1988|1991-04-01|N|Egreso|MAR DEL PLATA||
53999|47952|206|1988|1991-04-01|N|Pasivo|PUERTO MADRYN||
54001|47954|206|1988|1991-04-01|N|Pasivo|TANDIL||
54002|47955|206|1988|1991-04-01|N|Pasivo|TANDIL||
54004|47957|206|1988|1991-04-01|N|Pasivo|TRES ARROYOS||
54006|47959|206|1988|1991-04-01|N|Egreso|RAUCH||
54010|47964|206|1988|1991-04-01|N|Pasivo|OLAVARRÍA|ESCUELA JUAN PABLO ECHAGUE|BACHILLER NACIONAL
54011|47965|206|1988|1991-04-01|N|Pasivo|LA PLATA||
54013|47967|206|1988|1991-04-01|N|Pasivo|TANDIL||
54014|47968|206|1988|1991-04-01|N|Egreso|CHOELE CHOEL||
54015|47969|206|1988|1991-04-01|N|Pasivo|BOLIVAR|ESCUELA AGROTECNICA EJERCITO ARGENTINO|BACHILLER MERCANTIL
54016|47970|206|1988|1991-04-01|N|Egreso|SAN CARLOS DE BARILOCHE||
54017|47971|206|1988|1991-04-01|N|Pasivo|MAR DEL PLATA||
54018|47972|206|1988|1991-04-01|N|Egreso|TANDIL||
54019|47973|206|1988|1991-04-01|N|Egreso|ESQUEL||
54021|22416|206|1988|1991-04-01|N|Egreso|BOLIVAR||
54022|47979|206|1988|1991-04-01|N|Pasivo|AZUL||
54023|47980|206|1988|1991-04-01|N|Egreso|MAR DEL PLATA|ANTONINO ABERASTAIN - POCITO|PERITO MERCANTIL
54024|47981|206|1988|1991-04-01|N|Pasivo|TANDIL||
54025|47983|206|1988|1991-04-01|S|Alta Alumno|Indeterminada|VICTORINA L. DE NAVARRO|PERITO MERCANTIL
54026|27685|206|1988|1991-04-01|N|Pasivo|TANDIL||
54027|47985|206|1988|1991-04-01|N|Egreso|VIEDMA||
54029|20905|206|1988|1991-04-01|N|Pasivo|TANDIL||
54030|5498|206|1988|1991-04-01|N|Egreso|TANDIL||
54031|14912|206|1988|1991-04-01|N|Alta Alumno|TRES ARROYOS|E.P.E.T. NRO.1 ING. ROGELIO BOERO|BACHILLER
54032|47990|206|1988|1991-04-01|N|Egreso|BAHIA BLANCA||
54033|47992|206|1988|1991-04-01|N|Egreso|TANDIL||
54034|47993|206|1988|1991-04-01|N|Egreso|AZUL||
54035|47994|206|1988|1991-04-01|N|Egreso|TANDIL||
54036|47995|206|1988|1991-04-01|N|Egreso|TANDIL||
54039|47998|206|1988|1991-04-01|N|Egreso|AYACUCHO|ESC.IND. DOMIGO F. SARMIENTO|BACHILLER COMUN
54040|41875|206|1988|1991-04-01|N|Pasivo|AYACUCHO|JUAN PABLO ECHAGUE|BACHILLER CON ORIENTACION DOCENTE
54043|48006|206|1988|1991-04-01|N|Egreso|TANDIL||
54044|48007|206|1988|1991-04-01|N|Egreso|MAR DEL PLATA|AGROTECNICA CORNELIO SAAVEDRA|TÉCNICO ELECTRONICO
54046|48010|206|1988|1991-04-01|N|Egreso|TANDIL||
